Team Number,EPA,Auto EPA,Teleop EPA,Endgame EPA,Speaker,Amp,Climb,Trap
67,34.3,11.7,18,4.5,1,1,1,1
70,30.1,9,15.6,5.6,,,,
78,34.1,9.3,21.4,3.4,,,,
114,41.8,11.2,26.4,4.2,1,1,1,0
175,25,8.2,13.8,3,,,,
179,34.2,15.2,12.9,6.1,,,,
219,26.2,10.7,14.4,1.2,,,,
226,29.2,14.7,12.9,1.7,,,,
578,16.1,5.6,8.4,2,,,,0
604,48.6,18.4,24.9,5.2,1,1,1,1
1058,33,12.3,18.4,2.4,,,,
1114,31,11.7,17.7,1.6,,,,
1160,18.4,5,12.1,1.4,,,,0
1288,14.5,5.5,7.3,1.7,,,,0
1318,34.4,11.6,18.3,4.6,,,,
1391,37.1,10.4,24.3,2.4,1,2,1,0
1410,28.6,12.4,13.6,2.7,,,,
1458,18.8,8.9,9.2,0.7,,,,0
1501,36.6,13.1,17.4,6.2,1,1,1,1
1533,18,8.6,8.1,1.3,,,,0
1591,35.5,15.1,16.9,3.5,1,1,1,0
1727,39.3,11.8,24.8,2.7,1,1,1,2
1730,34.5,11.7,19.4,3.4,,,,
1731,44.4,17.9,20.8,5.8,1,1,1,1
2073,28.7,11.7,14.2,2.8,,,,
2338,36.9,12.7,17.5,6.7,1,1,1,1
2522,37.4,12.5,22,2.9,1,1,1,0
2609,20.1,7.5,11,1.6,,,,0
2611,34.9,13.5,20.4,1.1,1,0,0,0
2614,35.2,12.4,17,5.8,1,2,1,1
2689,18.9,7.9,10.3,0.7,,,,0
2713,36.4,10.6,24.2,1.6,1,1,1,0
2930,32.7,11.9,17.9,2.9,,,,
2987,22.4,9,12.2,1.1,,,,
3075,27.5,8.2,15.3,4,,,,
3341,17.6,7.1,9.1,1.4,,,,0
3534,28,7.7,17.9,2.4,,,,
3539,32.5,13.2,17.1,2.1,,,,
3544,16.9,7.5,8.1,1.3,,,,0
4063,30.8,11.5,17.2,2.1,,,,
4125,24.8,7.7,15.6,1.5,,,,
4285,27,12.5,13.7,0.7,,,,
4322,17.7,8.1,9.2,0.5,,,,0
4400,35.5,11.8,21.7,2,1,1,0,0
4501,9.4,4.4,3.8,1.2,,,,0
4630,9.1,6.6,2.2,0.3,,,,0
5417,12.8,5,7.4,0.5,,,,0
5427,26.5,11.7,12.8,2,,,,
5461,20,8.7,10.1,1.3,,,,0
5712,45.9,17.1,23.8,5,1,1,1,1
5885,31.2,10.6,18.1,2.5,,,,
5892,21.9,7,13.3,1.5,,,,
6217,21.2,6.9,12.2,2.1,,,,
6329,42.9,13.2,27.3,2.5,1,1,1,2
6413,27.2,8.6,17.6,1,,,,
6459,33.4,12.9,19,1.5,,,,
6586,3.8,1.3,1.9,0.5,,,,0
6740,27.2,9.6,15.6,2,,,,
6800,34.6,13.6,17.2,3.8,1,1,1,0
6902,7.5,2.8,2.5,2.2,,,,0
7174,32.6,10,19.4,3.2,,,,
7428,17.6,3.8,11.9,1.9,,,,0
7457,37.4,14.5,16.9,6,1,1,1,1
7763,29.9,7.5,22.1,0.3,,,,
8019,13.2,3.1,8.5,1.6,,,,0
8033,34.6,11.3,22.7,0.6,1,1,0,0
8840,14.2,5,9.1,0.1,,,,0
9431,8.5,5,2,1.5,,,,0
9452,20.3,4.5,14.7,1,,,,0
9458,16.6,5.8,9.9,0.9,,,,0
9483,44.9,19.9,23.7,1.3,1,1,1,0
9498,13.2,6.4,6.8,0,,,,0
9535,30.3,8.5,17.7,4.1,,,,
9636,6.2,1.1,3.8,1.3,,,,0
9764,7.3,2.8,3.6,0.9,,,,0
